datetime,date_only,day,month,hour,user,message,msg_length,word_count,emoji_count,response_time_min
2025-01-24 22:00:00,2025-01-24,Friday,January,22,User34,"Dear Students,",14,2,0,
2025-02-12 13:08:00,2025-02-12,Wednesday,February,13,User34,📢 *Reminder: Sensitization Session on Global Immersion Program* 🌍✨,66,9,2,
2025-02-13 13:03:00,2025-02-13,Thursday,February,13,User34,📢 *Reminder: Sensitization Session on Global Immersion Program* 🌍✨,66,9,2,
2025-02-14 21:43:00,2025-02-14,Friday,February,21,User18,"If not, reach as soon as possible.",34,7,0,1960.0
2025-02-14 21:43:00,2025-02-14,Friday,February,21,User18,Hope all of you have reached your hostel.,41,8,0,
2025-02-14 21:47:00,2025-02-14,Friday,February,21,User18,Localites mentee reach your home as soon as possible,52,9,0,
2025-02-15 21:26:00,2025-02-15,Saturday,February,21,User18,Before 9:30pm,13,2,0,
2025-02-15 21:26:00,2025-02-15,Saturday,February,21,User18,All of you reach your hostel as soon as possible,48,10,0,
2025-02-15 21:27:00,2025-02-15,Saturday,February,21,User18,Localites mentee reach your home as soon as possible,52,9,0,
2025-02-16 21:54:00,2025-02-16,Sunday,February,21,User18,Localites mentee reach your home as soon as possible,52,9,0,
2025-02-16 21:54:00,2025-02-16,Sunday,February,21,User18,All of you reach your hostel as soon as possible,48,10,0,
2025-02-24 17:14:00,2025-02-24,Monday,February,17,User35,"🌍 *Global Immersion Program 2025 – Explore, Learn & Transform*! ",64,10,1,11240.0
2025-03-07 14:11:00,2025-03-07,Friday,March,14,User18,Then only I will approve the leave in sap,41,9,0,15657.0
2025-03-07 14:11:00,2025-03-07,Friday,March,14,User18,Those are applying for leave meet me today,42,8,0,
2025-03-07 16:34:00,2025-03-07,Friday,March,16,User36,Registration link- https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210603491/?utm_medium=jobshare&utm_source=External+Job+Share,158,3,0,143.0
2025-03-08 10:52:00,2025-03-08,Saturday,March,10,User18,All of please meet me today for tutor mentoring,47,9,0,1098.0
2025-03-08 10:52:00,2025-03-08,Saturday,March,10,User18,Come as soon as possible,24,5,0,
2025-03-08 10:52:00,2025-03-08,Saturday,March,10,User18,Time: 11:30-12:30,17,2,0,
2025-03-08 10:52:00,2025-03-08,Saturday,March,10,User18,At my cabin,11,3,0,
2025-03-08 11:54:00,2025-03-08,Saturday,March,11,User18,No one is coming.,17,4,0,
2025-03-09 09:35:00,2025-03-09,Sunday,March,9,User34,"Dear Students,",14,2,0,1301.0
2025-03-21 21:48:00,2025-03-21,Friday,March,21,User36,This is to inform all the students that  the registration for AlgoUniversity  Internship Program has been extended till 22nd March'2025 by 11.59 AM. All the YET TO REGISTER students are directed to REGISTER on or before  22nd March'2025 by 11.59 AM.,249,41,0,18013.0
2025-03-30 14:29:00,2025-03-30,Sunday,March,14,User34,"Dear Students,",14,2,0,12521.0
2025-04-02 18:08:00,2025-04-02,Wednesday,April,18,User34,*KAREER SCHOOL*,15,2,0,
2025-04-04 19:08:00,2025-04-04,Friday,April,19,User34,*REGISTRATION: GRAPHS COMPLETION TEST* 🚀,40,5,1,
2025-04-04 20:37:00,2025-04-04,Friday,April,20,User34,The registration for the NCIIPC-AICTE Pentathon 2025 is now live. ,66,10,0,
2025-04-08 15:48:00,2025-04-08,Tuesday,April,15,User34,"*UiPath AgentHack* – India Student Edition, a journey where students from across the country come together to learn, build, and win! ",133,21,0,
2025-04-10 20:07:00,2025-04-10,Thursday,April,20,User34,"Dear Sir,",9,2,0,
2025-04-11 16:22:00,2025-04-11,Friday,April,16,User34,*Reminder*,10,1,0,
2025-04-21 18:27:00,2025-04-21,Monday,April,18,User18,"Those who are sending leave application through  sap, I will not approve it. Come physically and meet me",104,18,0,14525.0
2025-04-21 18:28:00,2025-04-21,Monday,April,18,User19,Ma'am your room number?,23,4,0,1.0
2025-04-21 18:29:00,2025-04-21,Monday,April,18,User18,f-214,5,1,0,1.0
2025-04-21 18:29:00,2025-04-21,Monday,April,18,User19,Ok ma'am,8,2,0,0.0
2025-04-22 10:35:00,2025-04-22,Tuesday,April,10,User34,*Last & Final Call for GIP 2025!* ,34,7,0,966.0
2025-04-22 18:08:00,2025-04-22,Tuesday,April,18,User18,Those who are staying in the hostel meet me tomorrow at 10am. Or anytime upto 6pm,81,16,0,453.0
2025-04-22 18:08:00,2025-04-22,Tuesday,April,18,User18,Tomorrow I will conduct tutor mentoring,39,6,0,
2025-04-22 18:08:00,2025-04-22,Tuesday,April,18,User18,Those are in bhubaneswar only,29,5,0,
2025-04-23 10:31:00,2025-04-23,Wednesday,April,10,User34,"As per students demand, registration is extended as many are interested in enrolling and requested for registration date extension. You may have the details for both Tech and Finance courses in the notices shared. Registration will remain open for the next 5 days.",264,43,0,983.0
2025-04-23 10:32:00,2025-04-23,Wednesday,April,10,User34,"As per students demand, registration is extended as many are interested in enrolling and requested for registration date extension. You may have the details for both Tech and Finance courses in the notices shared. Registration will remain open for the next 5 days.",264,43,0,
2025-04-23 16:49:00,2025-04-23,Wednesday,April,16,User18,Those who are staying in hostel or at bhubaneswar meet me. It is urgent.,72,14,0,377.0
2025-04-26 11:22:00,2025-04-26,Saturday,April,11,User34,"Get ready for something BIG — the Global *MIT AI Hackathon* is happening *May 2–3, 2025 (online)* and YOU can be a part of it!",126,25,0,3993.0
2025-04-28 18:08:00,2025-04-28,Monday,April,18,User34,*reminder*,10,1,0,
2025-06-16 20:15:00,2025-06-16,Monday,June,20,User36,Students Plasmid Innovation online internship program stands canceled. ,71,8,0,70687.0
2025-06-21 15:11:00,2025-06-21,Saturday,June,15,User34,*This session has started. Join fast.*,38,6,0,6896.0
2025-06-25 20:13:00,2025-06-25,Wednesday,June,20,User34,*https://meet.google.com/irm-kdzd-tyo*,38,1,0,
2025-06-28 20:06:00,2025-06-28,Saturday,June,20,User34,*Reminder*,10,1,0,
2025-06-29 16:25:00,2025-06-29,Sunday,June,16,User34,*Reminder for the above session. It has started. Join fast.*,60,10,0,
2025-07-05 20:09:00,2025-07-05,Saturday,July,20,User34,*REMINDER*,10,1,0,
2025-07-08 13:36:00,2025-07-08,Tuesday,July,13,User36,Link to join the webinar,24,5,0,3927.0
2025-07-08 13:36:00,2025-07-08,Tuesday,July,13,User36,https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3Ameeting_NWExODY0M2YtMTkzYi00NTc0LWI2NWUtZjI4N2E2MzRiYjdh%40thread.v2%2F0%3Fcontext%3D%257b%2522Tid%2522%253a%25225d471751-9675-428d-917b-70f44f9630b0%2522%252c%2522Oid%2522%253a%252295c7a8d8-b6b2-445e-8877-3b9c91165a51%2522%257d%26anon%3Dtrue&type=meetup-join&deeplinkId=77392537-666a-4721-a25d-46963d9edbc9&directDl=true&msLaunch=true&enableMobilePage=true&suppressPrompt=true,468,1,0,
2025-07-08 17:45:00,2025-07-08,Tuesday,July,17,User34,"Dear Student,",13,2,0,249.0
2025-07-09 10:28:00,2025-07-09,Wednesday,July,10,User18,"Room No for Tutor meeting: A-015, Campus 25",43,8,0,1003.0
2025-07-09 10:29:00,2025-07-09,Wednesday,July,10,User18,All of you are requested to attend the meeting,46,9,0,
2025-07-09 11:11:00,2025-07-09,Wednesday,July,11,User18,All of you please come with your passport photo,47,9,0,
2025-07-14 10:53:00,2025-07-14,Monday,July,10,User18,"Dear Mentees, My mobile phone is not working. If you have any queries, you can message here or mail me.",103,20,0,
2025-07-14 10:53:00,2025-07-14,Monday,July,10,User18,"Those who have not joined on the day of tutor mentoring, please meet me personally.",83,15,0,
2025-07-14 10:54:00,2025-07-14,Monday,July,10,User18,"My cabin room no: CAMPUS 25, B-021.",35,7,0,
2025-07-14 12:43:00,2025-07-14,Monday,July,12,User18,please fill this form,21,4,0,
2025-07-14 12:44:00,2025-07-14,Monday,July,12,User18,after filling up send it to my mail id: sujata.swainfcs@kiit.ac.in,66,10,0,
2025-07-15 14:09:00,2025-07-15,Tuesday,July,14,User34,"🎓 *KIITians, Ready to Go Global?* 🌍",35,7,2,1525.0
2025-07-18 12:06:00,2025-07-18,Friday,July,12,User29,"Respected Sir,",14,2,0,4197.0
2025-07-18 12:08:00,2025-07-18,Friday,July,12,User30,Yes sure,8,2,0,2.0
2025-07-18 12:09:00,2025-07-18,Friday,July,12,User30,"Get a first hand idea about the topic of ur choice & meet me tomorrow between 10 am to 11 am in my chamber at Campus 25, Block C-201, chamber I for discussion",158,33,0,
2025-07-18 12:54:00,2025-07-18,Friday,July,12,User29,Thank you sir,13,3,0,45.0
2025-07-19 14:11:00,2025-07-19,Saturday,July,14,User29,"Good afternoon sir,",19,3,0,
2025-07-19 15:05:00,2025-07-19,Saturday,July,15,User30,*1st draft deadline is July 25:::::* ,37,6,0,54.0
2025-07-19 15:05:00,2025-07-19,Saturday,July,15,User30,Ok ,3,1,0,
2025-07-22 16:39:00,2025-07-22,Tuesday,July,16,User18,"Dear mentees, please fill this this biodata",43,7,0,4414.0
2025-07-22 16:39:00,2025-07-22,Tuesday,July,16,User18,i have received only 3,22,5,0,
2025-07-22 16:40:00,2025-07-22,Tuesday,July,16,User18,palak rupali and tanya,22,4,0,
2025-07-22 16:41:00,2025-07-22,Tuesday,July,16,User18,other mentees please fill and send to my mail,45,9,0,
2025-07-22 17:25:00,2025-07-22,Tuesday,July,17,User29,Sir in PROPOSED MODEL it's max 3 page including the pic ?,57,12,0,44.0
2025-07-22 17:31:00,2025-07-22,Tuesday,July,17,User30,Diagram with its explanation,28,4,0,6.0
2025-07-22 17:31:00,2025-07-22,Tuesday,July,17,User30,Yes,3,1,0,
2025-07-23 10:10:00,2025-07-23,Wednesday,July,10,User34,"Dear Student,",13,2,0,999.0
2025-07-23 10:43:00,2025-07-23,Wednesday,July,10,User29,Sir please take a look at this document once. Formatting is not done yet.,73,14,0,33.0
2025-07-23 10:51:00,2025-07-23,Wednesday,July,10,User30,Few changes needed.,19,3,0,8.0
2025-07-23 17:53:00,2025-07-23,Wednesday,July,17,User30,"Dear team, ",11,2,0,
2025-07-25 09:13:00,2025-07-25,Friday,July,9,User29,"Sir, I have uploaded it on the draft link. After that, what do I have to do now?",80,18,0,2360.0
2025-07-25 10:10:00,2025-07-25,Friday,July,10,User30,Ok,2,1,0,57.0
2025-07-25 10:10:00,2025-07-25,Friday,July,10,User30,I will tell soon,16,4,0,
2025-07-29 12:51:00,2025-07-29,Tuesday,July,12,User18,"Those who are absent in the tutor mentoring, come and meet me",61,12,0,5921.0
2025-07-29 12:52:00,2025-07-29,Tuesday,July,12,User18,3:15-5 I am busy with lab. Either come before or after that,59,12,0,
2025-07-29 13:01:00,2025-07-29,Tuesday,July,13,User18,B-021,5,1,0,
2025-07-29 13:01:00,2025-07-29,Tuesday,July,13,User18,My cabin no,11,3,0,
2025-07-29 18:41:00,2025-07-29,Tuesday,July,18,User29,Hello uncle,11,2,0,340.0
