user,total_messages,avg_msg_length,avg_word_count,total_emojis
User1,1,20.0,5.0,0
User10,2,22.0,4.0,0
User100,1,14.0,3.0,0
User101,2,20.0,4.0,0
User102,1,13.0,3.0,0
User103,1,13.0,3.0,0
User104,1,13.0,3.0,0
User105,6,46.0,7.833333333333333,0
User106,1,8.0,2.0,0
User107,2,23.5,4.5,0
User108,6,29.166666666666668,5.833333333333333,0
User109,1,92.0,17.0,0
User11,2,22.0,5.0,0
User110,1,7.0,2.0,0
User111,2,17.0,3.5,0
User112,1,8.0,2.0,1
User113,1,9.0,2.0,1
User114,2,18.5,4.0,0
User115,1,75.0,13.0,0
User116,1,7.0,2.0,0
User117,1,2.0,1.0,0
User118,2,97.0,15.0,0
User119,4,53.25,10.75,0
User12,1,35.0,7.0,0
User120,2,26.0,5.0,0
User121,1,7.0,2.0,0
User122,1,25.0,5.0,0
User123,1,29.0,7.0,0
User124,2,7.5,2.0,0
User125,3,30.666666666666668,5.0,0
User126,1,7.0,2.0,0
User127,4,34.25,7.0,0
User128,1,2.0,1.0,0
User129,6,58.166666666666664,6.333333333333333,0
User13,1,15.0,3.0,0
User130,1,172.0,34.0,0
User131,3,144.66666666666666,26.0,0
User132,1,71.0,14.0,0
User133,1,379.0,60.0,0
User134,1,10.0,2.0,0
User135,1,50.0,8.0,0
User136,1,7.0,2.0,0
User137,16,28.8125,5.6875,3
User138,1,12.0,2.0,0
User139,2,33.5,7.0,0
User14,3,28.0,5.666666666666667,0
User140,1,8.0,2.0,0
User141,10,47.0,8.9,0
User142,3,80.0,16.0,0
User143,1,9.0,2.0,0
User144,1,1.0,1.0,0
User145,2,4.0,1.0,0
User146,2,13.0,3.0,0
User147,2,7.5,1.5,0
User148,1,39.0,8.0,0
User149,9,53.333333333333336,5.777777777777778,0
User15,1,34.0,7.0,0
User150,1,27.0,5.0,0
User151,1,54.0,9.0,0
User152,2,26.5,4.5,0
User153,1,51.0,8.0,0
User154,1,2.0,1.0,0
User155,3,109.66666666666667,1.6666666666666667,0
User156,2,32.0,6.5,0
User157,10,44.4,8.1,0
User158,3,36.333333333333336,7.333333333333333,0
User159,1,59.0,11.0,0
User16,1,11.0,2.0,0
User160,2,12.5,2.0,0
User161,9,28.77777777777778,5.333333333333333,0
User162,1,7.0,1.0,0
User163,4,11.75,2.5,0
User164,1,22.0,4.0,0
User165,1,9.0,2.0,0
User166,6,78.0,6.333333333333333,0
User167,2,33.5,5.5,0
User168,1,48.0,8.0,0
User169,2,9.5,2.0,0
User17,1,58.0,1.0,0
User170,2,38.0,7.5,0
User171,1,16.0,4.0,0
User172,3,8.333333333333334,2.0,1
User173,1,24.0,4.0,0
User174,1,102.0,9.0,0
User175,1,52.0,9.0,0
User176,3,11.333333333333334,2.0,1
User177,2,54.5,5.5,0
User178,1,16.0,3.0,0
User179,1,36.0,8.0,0
User18,66,44.63636363636363,8.409090909090908,0
User180,1,17.0,3.0,0
User181,2,40.0,8.5,0
User182,1,1.0,1.0,0
User183,1,3.0,1.0,0
User184,1,112.0,18.0,0
User185,1,48.0,8.0,0
User186,1,26.0,5.0,0
User187,1,26.0,5.0,0
User188,2,57.5,11.0,0
User19,3,13.666666666666666,2.6666666666666665,0
User2,3,147.66666666666666,7.333333333333333,0
User20,6,22.666666666666668,4.333333333333333,0
User21,2,31.0,7.5,0
User22,1,20.0,6.0,0
User23,4,38.5,8.25,0
User24,4,14.25,3.0,0
User25,2,26.5,6.5,1
User26,25,50.68,8.88,0
User27,1,52.0,10.0,0
User28,1,55.0,13.0,0
User29,186,26.225806451612904,5.634408602150538,1
User3,1,229.0,4.0,0
User30,44,27.113636363636363,4.840909090909091,0
User31,8,18.5,2.75,3
User32,4,41.5,8.5,0
User33,161,35.41614906832298,6.931677018633541,9
User34,55,46.054545454545455,7.0,12
User35,1,64.0,10.0,1
User36,10,127.3,10.8,0
User37,1,24.0,4.0,0
User38,2,85.5,15.5,0
User39,1,13.0,3.0,0
User4,2,22.5,4.5,0
User40,1,4.0,1.0,0
User41,8,60.625,9.0,0
User42,1,13.0,3.0,0
User43,2,10.5,2.5,0
User44,1,13.0,3.0,0
User45,1,4.0,1.0,0
User46,8,44.25,8.75,0
User47,1,13.0,3.0,0
User48,2,7.5,2.0,0
User49,10,66.7,13.0,0
User5,3,20.333333333333332,3.6666666666666665,0
User50,1,13.0,3.0,0
User51,1,13.0,3.0,0
User52,1,8.0,2.0,0
User53,2,39.5,8.5,0
User54,3,7.333333333333333,2.0,0
User55,2,11.0,2.5,0
User56,1,13.0,3.0,0
User57,2,10.0,2.5,0
User58,3,122.33333333333333,22.0,0
User59,2,10.0,2.5,0
User6,1,57.0,12.0,0
User60,4,11.75,2.75,0
User61,2,17.5,3.0,0
User62,1,243.0,48.0,0
User63,4,31.5,6.25,0
User64,11,40.0,7.818181818181818,0
User65,3,24.0,4.333333333333333,0
User66,1,23.0,4.0,0
User67,6,22.666666666666668,5.0,0
User68,3,105.0,17.333333333333332,0
User69,4,14.0,3.0,0
User7,1,29.0,5.0,0
User70,1,71.0,13.0,0
User71,1,17.0,3.0,0
User72,1,39.0,7.0,0
User73,5,36.8,7.8,0
User74,1,7.0,2.0,0
User75,1,7.0,2.0,0
User76,1,7.0,2.0,0
User77,1,7.0,2.0,0
User78,1,7.0,2.0,0
User79,2,40.5,8.0,0
User8,1,19.0,4.0,0
User80,1,2.0,1.0,0
User81,1,43.0,7.0,0
User82,11,54.36363636363637,9.454545454545455,1
User83,5,48.2,3.8,0
User84,2,34.0,7.5,0
User85,5,25.0,2.8,0
User86,1,7.0,2.0,0
User87,10,24.3,5.2,0
User88,5,15.0,3.4,0
User89,1,62.0,11.0,0
User9,1,18.0,5.0,0
User90,2,45.5,9.5,0
User91,1,76.0,15.0,0
User92,3,112.0,19.0,0
User93,1,16.0,3.0,0
User94,1,62.0,11.0,0
User95,1,49.0,9.0,0
User96,1,4.0,1.0,0
User97,1,8.0,2.0,0
User98,1,16.0,3.0,0
User99,2,21.5,4.5,0
